cou:中国
pro:北京市,中国
cit:东城区,北京市,中国
cit:西城区,北京市,中国
cit:朝阳区,北京市,中国
cit:丰台区,北京市,中国
cit:石景山区,北京市,中国
cit:海淀区,北京市,中国
cit:门头沟区,北京市,中国
cit:房山区,北京市,中国
cit:通州区,北京市,中国
cit:顺义区,北京市,中国
cit:昌平区,北京市,中国
cit:大兴区,北京市,中国
cit:怀柔区,北京市,中国
cit:平谷区,北京市,中国
cit:密云县,北京市,中国
cit:延庆县,北京市,中国
pro:天津市,中国
cit:和平区,天津市,中国
cit:河东区,天津市,中国
cit:河西区,天津市,中国
cit:南开区,天津市,中国
cit:河北区,天津市,中国
cit:红桥区,天津市,中国
cit:东丽区,天津市,中国
cit:西青区,天津市,中国
cit:津南区,天津市,中国
cit:北辰区,天津市,中国
cit:武清区,天津市,中国
cit:宝坻区,天津市,中国
cit:滨海新区,天津市,中国
cit:宁河县,天津市,中国
cit:静海县,天津市,中国
cit:蓟县,天津市,中国
pro:河北省,中国
cit:石家庄市,河北省,中国
dis:长安区,石家庄市,河北省,中国
dis:桥东区,石家庄市,河北省,中国
dis:桥西区,石家庄市,河北省,中国
dis:新华区,石家庄市,河北省,中国
dis:井陉矿区,石家庄市,河北省,中国
dis:裕华区,石家庄市,河北省,中国
dis:井陉县,石家庄市,河北省,中国
dis:正定县,石家庄市,河北省,中国
dis:栾城区,石家庄市,河北省,中国
dis:行唐县,石家庄市,河北省,中国
dis:灵寿县,石家庄市,河北省,中国
dis:高邑县,石家庄市,河北省,中国
dis:深泽县,石家庄市,河北省,中国
dis:赞皇县,石家庄市,河北省,中国
dis:无极县,石家庄市,河北省,中国
dis:平山县,石家庄市,河北省,中国
dis:元氏县,石家庄市,河北省,中国
dis:赵县,石家庄市,河北省,中国
dis:辛集市,石家庄市,河北省,中国
dis:藁城区,石家庄市,河北省,中国
dis:晋州市,石家庄市,河北省,中国
dis:新乐市,石家庄市,河北省,中国
dis:鹿泉区,石家庄市,河北省,中国
cit:唐山市,河北省,中国
dis:路南区,唐山市,河北省,中国
dis:路北区,唐山市,河北省,中国
dis:古冶区,唐山市,河北省,中国
dis:开平区,唐山市,河北省,中国
dis:丰南区,唐山市,河北省,中国
dis:丰润区,唐山市,河北省,中国
dis:曹妃甸区,唐山市,河北省,中国
dis:滦县,唐山市,河北省,中国
dis:滦南县,唐山市,河北省,中国
dis:乐亭县,唐山市,河北省,中国
dis:迁西县,唐山市,河北省,中国
dis:玉田县,唐山市,河北省,中国
dis:遵化市,唐山市,河北省,中国
dis:迁安市,唐山市,河北省,中国
cit:秦皇岛市,河北省,中国
dis:海港区,秦皇岛市,河北省,中国
dis:山海关区,秦皇岛市,河北省,中国
dis:北戴河区,秦皇岛市,河北省,中国
dis:青龙满族自治县,秦皇岛市,河北省,中国
dis:昌黎县,秦皇岛市,河北省,中国
dis:抚宁县,秦皇岛市,河北省,中国
dis:卢龙县,秦皇岛市,河北省,中国
cit:邯郸市,河北省,中国
dis:邯山区,邯郸市,河北省,中国
dis:丛台区,邯郸市,河北省,中国
dis:复兴区,邯郸市,河北省,中国
dis:峰峰矿区,邯郸市,河北省,中国
dis:邯郸县,邯郸市,河北省,中国
dis:临漳县,邯郸市,河北省,中国
dis:成安县,邯郸市,河北省,中国
dis:大名县,邯郸市,河北省,中国
dis:涉县,邯郸市,河北省,中国
dis:磁县,邯郸市,河北省,中国
dis:肥乡县,邯郸市,河北省,中国
dis:永年县,邯郸市,河北省,中国
dis:邱县,邯郸市,河北省,中国
dis:鸡泽县,邯郸市,河北省,中国
dis:广平县,邯郸市,河北省,中国
dis:馆陶县,邯郸市,河北省,中国
dis:魏县,邯郸市,河北省,中国
dis:曲周县,邯郸市,河北省,中国
dis:武安市,邯郸市,河北省,中国
cit:邢台市,河北省,中国
dis:桥东区,邢台市,河北省,中国
dis:桥西区,邢台市,河北省,中国
dis:邢台县,邢台市,河北省,中国
dis:临城县,邢台市,河北省,中国
dis:内丘县,邢台市,河北省,中国
dis:柏乡县,邢台市,河北省,中国
dis:隆尧县,邢台市,河北省,中国
dis:任县,邢台市,河北省,中国
dis:南和县,邢台市,河北省,中国
dis:宁晋县,邢台市,河北省,中国
dis:巨鹿县,邢台市,河北省,中国
dis:新河县,邢台市,河北省,中国
dis:广宗县,邢台市,河北省,中国
dis:平乡县,邢台市,河北省,中国
dis:威县,邢台市,河北省,中国
dis:清河县,邢台市,河北省,中国
dis:临西县,邢台市,河北省,中国
dis:南宫市,邢台市,河北省,中国
dis:沙河市,邢台市,河北省,中国
cit:保定市,河北省,中国
dis:新市区,保定市,河北省,中国
dis:北市区,保定市,河北省,中国
dis:南市区,保定市,河北省,中国
dis:满城县,保定市,河北省,中国
dis:清苑县,保定市,河北省,中国
dis:涞水县,保定市,河北省,中国
dis:阜平县,保定市,河北省,中国
dis:徐水县,保定市,河北省,中国
dis:定兴县,保定市,河北省,中国
dis:唐县,保定市,河北省,中国
dis:高阳县,保定市,河北省,中国
dis:容城县,保定市,河北省,中国
dis:涞源县,保定市,河北省,中国
dis:望都县,保定市,河北省,中国
dis:安新县,保定市,河北省,中国
dis:易县,保定市,河北省,中国
dis:曲阳县,保定市,河北省,中国
dis:蠡县,保定市,河北省,中国
dis:顺平县,保定市,河北省,中国
dis:博野县,保定市,河北省,中国
dis:雄县,保定市,河北省,中国
dis:涿州市,保定市,河北省,中国
dis:定州市,保定市,河北省,中国
dis:安国市,保定市,河北省,中国
dis:高碑店市,保定市,河北省,中国
cit:张家口市,河北省,中国
dis:桥东区,张家口市,河北省,中国
dis:桥西区,张家口市,河北省,中国
dis:宣化区,张家口市,河北省,中国
dis:下花园区,张家口市,河北省,中国
dis:宣化区,张家口市,河北省,中国
dis:张北县,张家口市,河北省,中国
dis:康保县,张家口市,河北省,中国
dis:沽源县,张家口市,河北省,中国
dis:尚义县,张家口市,河北省,中国
dis:蔚县,张家口市,河北省,中国
dis:阳原县,张家口市,河北省,中国
dis:怀安县,张家口市,河北省,中国
dis:万全县,张家口市,河北省,中国
dis:怀来县,张家口市,河北省,中国
dis:涿鹿县,张家口市,河北省,中国
dis:赤城县,张家口市,河北省,中国
dis:崇礼县,张家口市,河北省,中国
cit:承德市,河北省,中国
dis:双桥区,承德市,河北省,中国
dis:双滦区,承德市,河北省,中国
dis:鹰手营子矿区,承德市,河北省,中国
dis:承德县,承德市,河北省,中国
dis:兴隆县,承德市,河北省,中国
dis:平泉县,承德市,河北省,中国
dis:滦平县,承德市,河北省,中国
dis:隆化县,承德市,河北省,中国
dis:丰宁满族自治县,承德市,河北省,中国
dis:宽城满族自治县,承德市,河北省,中国
dis:围场满族蒙古族自治县,承德市,河北省,中国
cit:沧州市,河北省,中国
dis:新华区,沧州市,河北省,中国
dis:运河区,沧州市,河北省,中国
dis:沧县,沧州市,河北省,中国
dis:青县,沧州市,河北省,中国
dis:东光县,沧州市,河北省,中国
dis:海兴县,沧州市,河北省,中国
dis:盐山县,沧州市,河北省,中国
dis:肃宁县,沧州市,河北省,中国
dis:南皮县,沧州市,河北省,中国
dis:吴桥县,沧州市,河北省,中国
dis:献县,沧州市,河北省,中国
dis:孟村回族自治县,沧州市,河北省,中国
dis:泊头市,沧州市,河北省,中国
dis:任丘市,沧州市,河北省,中国
dis:黄骅市,沧州市,河北省,中国
dis:河间市,沧州市,河北省,中国
cit:廊坊市,河北省,中国
dis:安次区,廊坊市,河北省,中国
dis:广阳区,廊坊市,河北省,中国
dis:固安县,廊坊市,河北省,中国
dis:永清县,廊坊市,河北省,中国
dis:香河县,廊坊市,河北省,中国
dis:大城县,廊坊市,河北省,中国
dis:文安县,廊坊市,河北省,中国
dis:大厂回族自治县,廊坊市,河北省,中国
dis:霸州市,廊坊市,河北省,中国
dis:三河市,廊坊市,河北省,中国
cit:衡水市,河北省,中国
dis:桃城区,衡水市,河北省,中国
dis:枣强县,衡水市,河北省,中国
dis:武邑县,衡水市,河北省,中国
